"customer","promoType","promoDescription","startDate","endDate","vlMarketingNum","marketingNum","status","forecast","actual"
"Walmart.com","BER","Retail Ad 9D","5/13/2014","7/11/2015","R293BER651","441COOP173","archived","215","1482"
"HSN Direct International","PP","Retail Ad 9D","8/7/2014","9/8/2015","R293COOP472","922BER524","archived","740","696"
"Sears Holdings/Kmart","COOP","9D @ $68","7/23/2013","8/16/2014","R294BER176","705COOP472","accepted","361","1602"
"Walmart.com","BER","Retail Ad","12/11/2016","11/10/2017","R296COOP939","463PP436","accepted","808","778"
"NEXCOM","PP","Retail Ad","9/13/2016","9/11/2017","R298BER705","197PP63","approved","625","765"
"Target.com","COOP","Description","7/28/2012","8/19/2013","R29COOP350","439COOP974","archived","849","1288"
"Bluestem Brands","PP","Description","8/12/2015","9/11/2016","R300COOP400","353BER890","running","640","542"
"QVC","PP","Retail","10/14/2015","10/12/2016","R300PP104","787PP528","POP","994","1106"
"Ingram Micro","PP","Retail","5/1/2011","7/5/2012","R301BER540","813BER90","approved","212","1749"
"Best Buy","BER","9D @ $68","11/23/2013","10/16/2014","R301PP920","699COOP404","approved","713","1754"
"Bluestem Brands","COOP","Retail","8/24/2010","9/17/2011","R303BER945","131BER191","archived","707","471"
"Tiger Direct","COOP","9D @ $68","3/19/2016","6/14/2017","R304BER711","473PP141","approved","811","528"
"Best Buy","PP","Retail Ad 9D","7/7/2012","8/8/2013","R305PP89","919PP34","archived","998","1308"
"Kohls","PP","Description","5/2/2012","7/6/2013","R306BER707","713COOP490","approved","346","1453"
"AAFES","COOP","Retail Ad","10/12/2014","10/11/2015","R306BER931","705BER49","approved","697","167"
"Synnex Canada","BER","Retail","10/31/2016","10/20/2017","R306PP851","382COOP828","running","231","1941"
"Best Buy.com","BER","Retail","4/14/2016","7/12/2017","R307PP554","780PP471","accepted","622","1048"
"AAFES","BER","Retail","7/7/2010","8/8/2011","R307PP921","645BER972","archived","567","360"
"Sears Holdings/Kmart","PP","Retail Ad 9D","5/22/2016","7/16/2017","R309BER420","26PP762","running","834","1229"
"Sears Holdings/Kmart","COOP","Retail Ad","8/17/2011","9/13/2012","R309BER661","191COOP639","approved","819","1622"
"Best Buy","BER","9D @ $68","4/9/2013","7/9/2014","R309COOP313","128COOP523","running","657","328"
"Sears Holdings/Kmart","COOP","Retail Ad 9D","9/14/2016","9/12/2017","R309COOP624","832PP552","approved","458","1679"
"Tiger Direct","BER","Retail Ad","11/19/2012","10/14/2013","R309PP522","293PP58","accepted","320","1254"
"Tiger Direct","COOP","Description","9/11/2010","9/10/2011","R30BER754","274BER591","running","665","307"
"NEXCOM","PP","Retail Ad","9/7/2013","9/8/2014","R30COOP835","747COOP392","archived","955","992"
"Frys Electronics","BER","Retail Ad 9D","6/11/2016","8/10/2017","R30PP876","688BER720","approved","313","1370"
"Sears Holdings/Kmart","BER","Retail Ad 9D","6/27/2014","8/18/2015","R311BER140","174COOP534","archived","932","1853"
"Best Buy.com","COOP","Description","4/6/2012","7/8/2013","R311BER278","390COOP790","running","416","812"
"Ingram Micro","PP","9D @ $68","1/15/2015","5/12/2016","R312BER506","397COOP83","approved","960","1057"
"AAFES","BER","Retail Ad","11/29/2016","10/19/2017","R312PP330","171PP167","running","489","669"
"Amazon","BER","Retail","5/14/2011","7/12/2012","R312PP732","145PP917","archived","798","1481"
"HSN Direct International","COOP","Retail Ad 9D","3/3/2013","6/6/2014","R315PP653","340PP628","approved","726","671"
"Ingram Micro","BER","Retail Ad 9D","4/31/2013","7/20/2014","R316BER396","589COOP792","running","998","1127"
"Ingram Micro","PP","Retail","5/27/2011","7/18/2012","R318COOP615","911BER420","archived","593","1397"
"QVC","BER","Retail Ad 9D","1/19/2013","5/14/2014","R318PP814","925BER41","approved","425","1855"
"AAFES","PP","Retail Ad 9D","12/1/2013","11/5/2014","R319COOP145","206PP973","approved","997","225"
"Best Buy.com","COOP","Description","2/29/2012","6/19/2013","R31BER800","325PP648","accepted","648","1445"
"Amazon Canada","COOP","Description","9/31/2010","9/20/2011","R31BER96","789PP822","running","401","697"
"QVC","PP","Retail Ad","10/9/2013","10/9/2014","R31COOP607","361PP357","approved","724","1888"
"Kohls","BER","Retail Ad 9D","8/2/2010","9/6/2011","R320PP173","89PP875","accepted","959","1527"
"Amazon Canada","BER","Description","4/26/2015","7/18/2016","R323PP433","361BER993","approved","272","950"
"NEXCOM","COOP","Description","3/4/2011","6/7/2012","R324BER98","735BER944","rejected","925","1637"
"Kohls","BER","9D @ $68","4/22/2015","7/16/2016","R324COOP811","113PP831","archived","772","705"
"Best Buy","COOP","Retail","2/10/2010","6/10/2011","R325BER446","227PP428","accepted","987","851"
"Best Buy.com","BER","Retail","3/23/2014","6/16/2015","R326COOP164","686PP821","approved","940","818"
"Best Buy.com","BER","Retail Ad 9D","9/20/2011","9/15/2012","R326COOP671","166COOP724","accepted","958","586"
"Synnex Canada","COOP","9D @ $68","7/25/2016","8/17/2017","R328COOP816","208COOP36","approved","686","1683"
"Tiger Direct","COOP","Retail Ad 9D","4/14/2011","7/12/2012","R329COOP148","184PP434","approved","603","251"
"HSN Direct International","BER","9D @ $68","12/24/2011","11/17/2012","R32COOP432","339COOP522","archived","306","450"
"Synnex Canada","PP","9D @ $68","7/9/2014","8/9/2015","R32COOP729","904PP415","approved","712","1427"
"AAFES","BER","9D @ $68","1/21/2011","5/15/2012","R32PP732","420BER993","accepted","447","1918"
"Sears Holdings","BER","Retail","6/31/2010","8/20/2011","R330BER345","531PP572","accepted","803","1949"
"Best Buy.com","BER","Description","12/15/2016","11/12/2017","R330COOP972","76BER875","approved","495","689"
"Synnex Canada","PP","Retail Ad","10/5/2013","10/7/2014","R331BER316","116PP468","approved","532","1461"
"Tiger Direct","PP","Retail Ad 9D","11/26/2013","10/18/2014","R331PP794","536BER412","running","807","1229"
"Sears Holdings/Kmart","COOP","Retail","9/13/2012","9/11/2013","R332COOP107","626PP594","approved","379","1656"
"HSN Direct International","COOP","9D @ $68","2/10/2011","6/10/2012","R333COOP325","835COOP36","accepted","843","1046"
"QVC","PP","Retail Ad 9D","7/21/2015","8/15/2016","R333PP747","119BER236","approved","355","184"
"Bluestem Brands","PP","9D @ $68","6/18/2015","8/14/2016","R334PP163","915BER687","accepted","655","1989"
"Kohls","COOP","Retail Ad 9D","10/23/2013","10/16/2014","R336BER561","564PP557","approved","903","396"
"QVC","COOP","Description","2/5/2014","6/7/2015","R336PP512","854COOP219","POP","560","1395"
"QVC","BER","Retail","5/15/2014","7/12/2015","R337COOP598","82COOP252","approved","761","1822"
"Walmart.com","PP","Retail Ad","12/6/2015","11/8/2016","R339BER136","452PP834","accepted","621","1622"
"Walmart.com","BER","Retail Ad","5/7/2010","7/8/2011","R33COOP57","545BER868","approved","970","1077"
"Kohls","COOP","Description","6/5/2012","8/7/2013","R342COOP696","25BER77","approved","353","1593"
"Synnex Canada","BER","9D @ $68","5/21/2012","7/15/2013","R342PP379","523BER463","archived","584","637"
"Ingram Micro","BER","9D @ $68","6/24/2010","8/17/2011","R343PP510","700COOP632","approved","945","182"
"QVC","BER","Description","7/12/2013","8/11/2014","R344BER66","402COOP873","archived","640","745"
"Frys Electronics","COOP","9D @ $68","7/14/2016","8/12/2017","R344COOP129","230PP759","archived","615","209"
"PriceSmart","PP","Description","7/28/2014","8/19/2015","R344PP438","474COOP479","approved","588","1700"
"BJs Wholesale Club","PP","Retail Ad 9D","11/4/2015","10/7/2016","R346BER621","36BER361","running","994","1483"
"QVC","PP","Retail Ad","6/19/2012","8/14/2013","R346BER904","233PP881","accepted","891","1685"
"Best Buy","COOP","9D @ $68","5/23/2016","7/16/2017","R346COOP410","55COOP465","accepted","400","1136"
"Tiger Direct","PP","Retail","6/10/2016","8/10/2017","R346COOP485","114PP33","accepted","711","740"
"Best Buy.com","COOP","Retail Ad 9D","9/22/2012","9/16/2013","R346PP89","372COOP66","POP","810","1605"
"Amazon","BER","Retail Ad 9D","2/11/2011","6/10/2012","R347PP46","706PP631","accepted","391","1691"
"Frys Electronics","COOP","Retail Ad","4/27/2013","7/18/2014","R347PP860","997COOP567","running","887","1751"
"BJs Wholesale Club","COOP","Retail Ad","1/19/2013","5/14/2014","R348PP551","904COOP482","POP","818","1419"
"Sears Holdings/Kmart","COOP","Retail Ad 9D","7/15/2010","8/12/2011","R349PP533","487COOP43","running","947","1760"
"Tiger Direct","PP","Description","5/16/2013","7/13/2014","R34BER907","788PP534","accepted","837","1988"
"AAFES","BER","Retail","1/18/2011","5/14/2012","R34PP283","394COOP787","approved","782","1908"
"Kohls","BER","Retail Ad","4/7/2014","7/8/2015","R350COOP604","957BER444","accepted","796","1147"
"Sears Holdings/Kmart","BER","Retail","11/16/2014","10/13/2015","R350COOP697","628PP280","accepted","841","1506"
"Best Buy.com","PP","Description","7/27/2011","8/18/2012","R353COOP504","682COOP252","archived","742","466"
"BJs Wholesale Club","BER","9D @ $68","12/18/2011","11/14/2012","R353PP766","406COOP251","approved","221","630"
"PriceSmart","BER","9D @ $68","8/18/2012","9/14/2013","R354COOP630","210BER957","accepted","402","578"
"PriceSmart","BER","Retail Ad","3/27/2011","6/18/2012","R355COOP192","991BER512","accepted","405","1646"
"HSN Direct International","PP","9D @ $68","12/7/2015","11/8/2016","R355PP14","561PP972","POP","917","1673"
"QVC","BER","Retail","8/9/2011","9/9/2012","R356BER198","11PP556","approved","932","259"
"PriceSmart","PP","Retail Ad 9D","7/8/2013","8/9/2014","R356COOP504","276COOP556","approved","433","604"
"PriceSmart","PP","Retail","7/22/2015","8/16/2016","R356COOP564","223BER928","accepted","710","1493"
"Best Buy.com","BER","Retail","6/25/2015","8/17/2016","R356PP182","196PP113","POP","348","1790"
"Tiger Direct","COOP","9D @ $68","5/4/2010","7/7/2011","R357COOP654","173BER611","approved","473","662"
"Best Buy","BER","Retail","11/10/2010","10/10/2011","R358PP123","648PP648","approved","432","134"
"Tiger Direct","COOP","Description","12/11/2010","11/10/2011","R359COOP664","148BER670","accepted","304","478"
"Best Buy","PP","9D @ $68","10/2/2016","10/6/2017","R359PP588","668COOP167","accepted","576","1242"
"HSN Direct International","BER","Retail Ad","11/18/2014","10/14/2015","R35PP338","7COOP587","POP","632","1069"
"AAFES","COOP","Description","1/3/2014","5/6/2015","R361BER641","454BER930","running","973","1685"
"QVC","COOP","Retail Ad","11/26/2015","10/18/2016","R362COOP648","747PP367","accepted","437","1395"
"Bluestem Brands","PP","Retail Ad","9/28/2015","9/19/2016","R362PP540","253BER691","approved","374","136"
"Synnex Canada","PP","Retail Ad","5/10/2015","7/10/2016","R363PP478","571PP588","approved","629","129"
"PriceSmart","COOP","Description","10/13/2015","10/11/2016","R364PP7","599BER60","accepted","850","1048"
"Amazon","BER","Retail Ad 9D","7/31/2010","8/20/2011","R366BER377","988PP494","approved","283","1051"
"Walmart.com","BER","Retail","1/16/2014","5/13/2015","R366COOP622","324PP272","accepted","203","1386"
"Bluestem Brands","PP","Retail Ad 9D","10/14/2012","10/12/2013","R367COOP406","180BER549","approved","385","510"
"Best Buy","PP","Retail Ad 9D","2/21/2015","6/15/2016","R367COOP599","584PP752","accepted","309","1215"
"AAFES","COOP","Description","11/26/2013","10/18/2014","R368PP177","20COOP739","approved","206","1708"
"Sears Holdings/Kmart","BER","Retail Ad","11/17/2011","10/13/2012","R36PP914","628PP330","accepted","674","1230"
"Best Buy.com","COOP","Retail Ad 9D","1/14/2012","5/12/2013","R374PP745","165PP20","approved","488","776"
"Bluestem Brands","BER","Retail Ad","7/15/2013","8/12/2014","R375BER392","393PP702","approved","646","1838"
"Synnex Canada","BER","Retail Ad 9D","7/26/2010","8/18/2011","R375PP871","97COOP354","approved","462","1861"
"Ingram Micro","COOP","Description","1/23/2013","5/16/2014","R377COOP413","372BER916","archived","559","621"
"Frys Electronics","COOP","Retail Ad 9D","3/20/2015","6/15/2016","R377COOP455","84PP267","POP","820","1693"
"Tiger Direct","COOP","9D @ $68","12/15/2012","11/12/2013","R37BER313","408PP599","accepted","356","1716"
"Amazon","COOP","9D @ $68","7/28/2012","8/19/2013","R37PP503","448PP226","running","678","1361"
"Sears Holdings","COOP","Retail Ad 9D","3/27/2011","6/18/2012","R380COOP299","972PP175","running","236","1801"
"Kohls","PP","Retail Ad 9D","6/23/2015","8/16/2016","R380PP356","132BER945","running","830","422"
"NEXCOM","BER","Description","11/18/2013","10/14/2014","R380PP608","902BER610","approved","364","1368"
"Amazon","COOP","Retail Ad","8/14/2010","9/12/2011","R381PP416","666PP865","POP","867","353"
"Ingram Micro","COOP","Retail Ad 9D","10/4/2015","10/7/2016","R384BER121","925COOP76","accepted","860","1625"
"AAFES","BER","sdffs","9/30/2015","10/22/2015","R385740","","approved","0","0"
"Best Buy","PP","Retail Ad","8/6/2016","9/8/2017","R386COOP585","541PP270","POP","364","1839"
"Sears Holdings","PP","Retail","2/1/2011","6/5/2012","R388PP941","825COOP34","approved","743","1534"
"Walmart.com","COOP","Retail","8/18/2013","9/14/2014","R390BER406","297COOP509","running","385","906"
"Sears Holdings/Kmart","BER","9D @ $68","3/3/2013","6/6/2014","R390BER558","684BER44","approved","661","1241"
"QVC","COOP","Retail","10/24/2012","10/17/2013","R391PP529","137BER486","archived","562","1298"
"QVC","BER","Retail","3/5/2014","6/7/2015","R391PP66","852BER990","running","290","644"
"Sears Holdings/Kmart","COOP","Retail Ad 9D","12/22/2010","11/16/2011","R393BER810","610PP569","approved","924","756"
"Best Buy.com","BER","Description","1/20/2016","5/15/2017","R393COOP735","974PP756","accepted","778","549"
"QVC","PP","Retail Ad 9D","4/26/2012","7/18/2013","R394BER116","477COOP381","accepted","807","1423"
"Walmart.com","COOP","Description","2/27/2013","6/18/2014","R394BER517","450BER844","POP","211","529"
"AAFES","PP","Retail Ad","6/1/2010","8/5/2011","R394PP707","554COOP658","accepted","333","1458"
"Walmart.com","BER","Retail","11/13/2012","10/11/2013","R396BER16","690BER594","running","441","716"
"Best Buy","BER","Description","1/26/2010","5/18/2011","R397COOP902","417COOP902","archived","788","922"
"QVC","BER","Retail Ad 9D","12/4/2015","11/7/2016","R398BER133","911BER515","approved","799","634"
"Amazon","PP","Retail Ad","3/11/2016","6/10/2017","R398COOP969","31COOP457","accepted","273","960"
"AAFES","COOP","Retail Ad","9/5/2011","9/7/2012","R39COOP495","587COOP652","archived","760","1765"
"Kohls","PP","9D @ $68","12/19/2012","11/14/2013","R39PP886","236BER944","running","430","550"
"AAFES","COOP","Retail","2/10/2012","6/10/2013","R400PP663","378COOP535","approved","856","1200"
"AAFES","BER","Retail Ad 9D","3/7/2015","6/8/2016","R403BER997","685BER764","accepted","290","1555"
"Amazon Canada","BER","Retail Ad 9D","12/4/2012","11/7/2013","R405BER8","750BER26","approved","404","936"
"Amazon","PP","Retail Ad 9D","1/24/2014","5/17/2015","R405PP635","193BER443","archived","680","1187"
"Best Buy","COOP","Retail","3/22/2012","6/16/2013","R406COOP700","256BER791","archived","382","615"
"NEXCOM","PP","Retail","7/21/2012","8/15/2013","R407BER169","966COOP277","approved","814","1990"
"Tiger Direct","COOP","Retail","4/9/2013","7/9/2014","R408COOP144","527BER788","POP","678","1422"
"Sears Holdings","BER","9D @ $68","1/18/2012","5/14/2013","R409BER586","471BER690","accepted","253","1270"
"Amazon","PP","9D @ $68","12/12/2016","11/11/2017","R409COOP747","701COOP64","approved","383","781"
"AAFES","PP","Retail Ad","4/5/2016","7/7/2017","R414PP588","779COOP575","accepted","957","808"
"Bluestem Brands","PP","Description","5/3/2013","7/6/2014","R415COOP42","389PP29","approved","762","1480"
"NEXCOM","COOP","Description","3/7/2010","6/8/2011","R415COOP954","3COOP33","POP","925","928"
"PriceSmart","PP","Retail","12/29/2012","11/19/2013","R417BER945","477BER11","archived","989","1545"
"Amazon","COOP","Description","3/8/2015","6/9/2016","R419BER411","848BER814","approved","251","743"
"Target.com","BER","Retail Ad","10/22/2011","10/16/2012","R420BER714","379COOP624","approved","605","709"
"Bluestem Brands","COOP","Description","4/16/2013","7/13/2014","R420PP793","557BER655","approved","912","1891"
"PriceSmart","BER","Retail Ad 9D","12/22/2011","11/16/2012","R422PP113","93COOP375","running","355","485"
"NEXCOM","BER","Retail","6/5/2011","8/7/2012","R422PP294","839BER18","running","934","1031"
"Amazon","BER","9D @ $68","7/11/2011","8/10/2012","R422PP924","752PP415","approved","626","350"
"PriceSmart","BER","9D @ $68","8/18/2013","9/14/2014","R423BER176","825BER16","accepted","785","262"
"Best Buy","PP","Description","2/19/2011","6/14/2012","R423BER334","843PP996","POP","770","1060"
"Best Buy.com","PP","9D @ $68","12/31/2015","11/20/2016","R423BER394","646BER723","accepted","976","1857"
"AAFES","PP","Retail Ad 9D","1/12/2016","5/11/2017","R423COOP361","628BER308","accepted","307","303"
"Walmart.com","BER","Retail Ad 9D","2/29/2010","6/19/2011","R424BER332","837BER967","running","525","1562"
"Bluestem Brands","PP","Description","11/25/2014","10/17/2015","R424PP456","698BER780","approved","521","1898"
"Kohls","BER","Retail","4/21/2010","7/15/2011","R425BER565","813COOP44","rejected","640","1424"
"Ingram Micro","COOP","9D @ $68","12/14/2012","11/12/2013","R425BER878","8COOP665","approved","953","1941"
"NEXCOM","PP","Description","2/2/2015","6/6/2016","R425COOP106","292BER349","archived","533","1984"
"Sears Holdings/Kmart","COOP","9D @ $68","9/16/2011","9/13/2012","R425COOP482","820PP170","approved","247","570"
"HSN Direct International","PP","9D @ $68","11/3/2014","10/6/2015","R428BER513","419COOP382","approved","576","528"
"Tiger Direct","BER","Retail Ad 9D","8/7/2011","9/8/2012","R429COOP533","333PP31","POP","773","1115"
"Tiger Direct","COOP","Retail","8/1/2010","9/5/2011","R429PP765","885BER544","POP","524","1225"
"BJs Wholesale Club","BER","9D @ $68","10/23/2011","10/16/2012","R42BER543","116PP466","archived","888","628"
"NEXCOM","PP","Description","9/8/2013","9/9/2014","R42PP72","634BER51","running","824","745"
"Synnex Canada","COOP","Retail Ad","11/19/2013","10/14/2014","R431PP947","76BER408","approved","963","1241"
"Kohls","PP","Description","11/6/2012","10/8/2013","R432PP310","119COOP443","accepted","887","891"
"AAFES","BER","Retail Ad 9D","3/1/2011","6/5/2012","R433COOP698","814BER344","running","757","546"
"Amazon Canada","BER","Retail Ad 9D","10/7/2011","10/8/2012","R433PP535","655COOP892","approved","928","1549"
"Sears Holdings","BER","Retail Ad 9D","10/13/2015","10/11/2016","R436BER304","786PP658","approved","799","900"
"AAFES","PP","9D @ $68","9/19/2015","9/14/2016","R437COOP716","410COOP875","accepted","441","327"
"Sears Holdings/Kmart","BER","Description","4/5/2011","7/7/2012","R439COOP814","309COOP115","approved","901","1154"
"NEXCOM","BER","Retail Ad 9D","11/5/2015","10/7/2016","R439COOP994","363PP997","approved","960","1829"
"HSN Direct International","BER","Description","9/10/2011","9/10/2012","R439PP119","887PP684","archived","736","1873"
"Sears Holdings/Kmart","COOP","Retail Ad","3/29/2013","6/19/2014","R43BER415","311COOP703","archived","638","1844"
"Best Buy","PP","Description","11/17/2014","10/13/2015","R440BER811","523PP965","accepted","946","1443"
"Synnex Canada","PP","Retail Ad 9D","1/9/2016","5/9/2017","R440COOP37","790COOP516","approved","806","300"
"Frys Electronics","BER","9D @ $68","11/21/2010","10/15/2011","R441BER235","76COOP326","accepted","776","136"
"Sears Holdings","PP","9D @ $68","4/17/2015","7/13/2016","R441BER376","143BER429","accepted","912","220"
"Frys Electronics","COOP","Retail Ad","5/25/2010","7/17/2011","R441BER608","313COOP131","accepted","793","851"
"Sears Holdings","BER","9D @ $68","8/16/2014","9/13/2015","R441COOP129","211BER313","archived","771","1635"
"Best Buy.com","COOP","test2","3/6/2014","6/8/2015","R443BER525","","approved","0","0"
"PriceSmart","BER","Retail Ad","9/29/2010","9/19/2011","R443PP321","521COOP861","approved","564","761"
"Best Buy.com","PP","Retail","3/6/2015","6/8/2016","R444BER971","893PP609","running","438","835"
"AAFES","BER","Retail","2/7/2014","6/8/2015","R444COOP579","524COOP844","approved","821","1622"
"Best Buy.com","COOP","Retail Ad","8/23/2010","9/16/2011","R445BER862","308COOP101","accepted","523","901"
"Amazon","BER","Retail Ad 9D","1/30/2012","5/20/2013","R445COOP902","315PP768","archived","229","1348"
"Synnex Canada","COOP","Retail Ad","11/3/2015","10/6/2016","R445PP303","962PP172","accepted","856","1891"
"Synnex Canada","BER","9D @ $68","5/21/2014","7/15/2015","R44PP592","930BER786","POP","717","544"
"Bluestem Brands","PP","Retail Ad","2/14/2015","6/12/2016","R451BER104","882COOP488","POP","703","1824"
"Ingram Micro","COOP","Retail Ad","3/29/2011","6/19/2012","R452BER934","869PP855","approved","700","813"
"Sears Holdings/Kmart","COOP","Retail Ad","2/12/2014","6/11/2015","R452PP745","539BER496","approved","861","1992"
"Amazon","BER","Description","6/25/2015","8/17/2016","R453BER361","728BER714","running","305","1389"
"Ingram Micro","COOP","Retail","8/29/2013","9/19/2014","R453COOP512","940COOP943","accepted","772","146"
"Amazon","PP","Retail","5/2/2014","7/6/2015","R455BER268","766BER785","approved","279","1649"
"QVC","PP","Description","11/31/2011","10/20/2012","R455PP81","548COOP710","accepted","265","1398"
"Synnex Canada","PP","9D @ $68","4/13/2014","7/11/2015","R456BER317","98BER231","approved","644","556"
"Walmart.com","BER","9D @ $68","11/25/2010","10/17/2011","R456BER735","190BER595","approved","398","878"
"Synnex Canada","BER","Retail Ad 9D","11/30/2013","10/20/2014","R456PP334","717COOP450","accepted","861","368"
"Best Buy","BER","Retail Ad 9D","11/1/2011","10/5/2012","R457COOP270","977PP794","approved","465","1042"
"Best Buy","PP","Retail Ad","2/23/2015","6/16/2016","R458BER662","904COOP766","POP","722","1262"
"Best Buy.com","PP","9D @ $68","12/21/2014","11/15/2015","R459BER937","929COOP193","running","349","214"
"Walmart.com","PP","9D @ $68","12/16/2010","11/13/2011","R45BER128","234PP820","accepted","282","1235"
"BJs Wholesale Club","PP","9D @ $68","10/15/2014","10/12/2015","R460PP389","682PP969","accepted","866","1090"
"BJs Wholesale Club","BER","9D @ $68","3/5/2015","6/7/2016","R461COOP399","928BER45","running","321","879"
"Sears Holdings","COOP","Retail Ad 9D","2/24/2014","6/17/2015","R462BER319","790BER148","accepted","701","1289"
"HSN Direct International","BER","Retail Ad","5/27/2016","7/18/2017","R462PP759","110PP263","accepted","449","158"
"Tiger Direct","BER","9D @ $68","7/30/2015","8/20/2016","R462PP775","227BER28","running","611","1129"
"HSN Direct International","PP","Description","2/18/2011","6/14/2012","R463BER364","339PP851","accepted","795","1117"
"Sears Holdings","BER","Retail Ad","10/2/2011","10/6/2012","R463COOP488","239COOP748","approved","513","1806"
"Kohls","BER","Retail","2/6/2013","6/8/2014","R463COOP69","366PP605","accepted","814","431"
"BJs Wholesale Club","COOP","Retail","1/21/2016","5/15/2017","R464COOP403","949BER925","POP","364","1305"
"Tiger Direct","PP","Retail Ad 9D","2/1/2012","6/5/2013","R466BER105","876COOP368","POP","324","1717"
"Sears Holdings","COOP","Retail Ad 9D","5/25/2013","7/17/2014","R466BER894","486COOP662","archived","497","377"
"Bluestem Brands","PP","Retail Ad 9D","3/29/2011","6/19/2012","R466BER90","156COOP509","accepted","564","860"
"Kohls","BER","Description","11/6/2010","10/8/2011","R466PP442","595PP267","archived","365","623"
"Ingram Micro","PP","Retail","4/12/2014","7/11/2015","R466PP883","126COOP513","accepted","939","230"
"AAFES","COOP","Retail Ad 9D","10/21/2012","10/15/2013","R467COOP83","299PP468","approved","299","624"
"Best Buy","BER","Description","4/13/2011","7/11/2012","R469PP207","582PP29","approved","304","1134"
"Synnex Canada","COOP","9D @ $68","5/15/2014","7/12/2015","R46COOP551","652COOP453","accepted","893","917"
"Best Buy","COOP","Retail","8/21/2013","9/15/2014","R471BER553","107BER964","archived","293","329"
"Best Buy.com","PP","Description","8/16/2012","9/13/2013","R471COOP142","684COOP528","accepted","314","984"
"PriceSmart","BER","Description","4/1/2011","7/5/2012","R474COOP11","910PP520","approved","422","1235"
"Kohls","BER","Retail Ad 9D","4/5/2010","7/7/2011","R474COOP494","215PP829","accepted","679","1037"
"QVC","COOP","Retail","12/18/2015","11/14/2016","R475BER346","288BER654","approved","801","842"
"Target.com","PP","Retail","7/1/2013","8/5/2014","R475COOP691","535BER253","accepted","921","1003"
"Best Buy.com","COOP","Description","10/11/2011","10/10/2012","R475PP317","535COOP110","archived","950","439"
"Frys Electronics","COOP","Description","1/15/2011","5/12/2012","R476COOP878","825BER768","approved","987","432"
"Synnex Canada","BER","9D @ $68","7/18/2014","8/14/2015","R478BER990","984BER421","accepted","818","311"
"Tiger Direct","BER","Retail Ad 9D","7/12/2014","8/11/2015","R478PP816","427COOP201","POP","269","1080"
"Ingram Micro","COOP","Description","11/1/2010","10/5/2011","R479BER201","418PP930","approved","736","1562"
"Tiger Direct","COOP","9D @ $68","1/27/2014","5/18/2015","R479BER812","872BER813","approved","854","243"
"PriceSmart","BER","Description","3/9/2012","6/9/2013","R47COOP611","349BER646","accepted","290","1540"
"Sears Holdings","PP","Retail Ad","9/25/2010","9/17/2011","R47PP563","792COOP540","running","473","1329"
"PriceSmart","BER","Description","5/12/2011","7/11/2012","R480COOP620","623PP267","accepted","337","1055"
"Best Buy","PP","Retail","2/31/2013","6/20/2014","R480COOP664","476PP504","POP","207","1077"
"Amazon Canada","PP","Retail Ad 9D","6/10/2012","8/10/2013","R481BER506","339PP935","running","226","725"
"PriceSmart","BER","Retail","8/20/2010","9/15/2011","R482BER408","566COOP981","POP","945","447"
"Target.com","COOP","Retail Ad","2/25/2013","6/17/2014","R482BER629","826PP420","POP","381","932"
"Frys Electronics","BER","Description","6/10/2015","8/10/2016","R483BER993","682BER209","archived","613","1056"
"Amazon","PP","Retail Ad 9D","5/16/2011","7/13/2012","R484PP991","341BER774","accepted","719","1888"
"BJs Wholesale Club","COOP","Retail Ad","9/19/2012","9/14/2013","R487BER124","562BER493","approved","590","1291"
"HSN Direct International","PP","Retail Ad","4/10/2012","7/10/2013","R487BER284","468BER299","archived","588","1763"
"Sears Holdings/Kmart","PP","Retail Ad","8/25/2010","9/17/2011","R487COOP869","892COOP763","accepted","236","1140"
"Synnex Canada","BER","Description","2/21/2010","6/15/2011","R487COOP879","357COOP128","POP","781","640"
"Best Buy.com","COOP","9D @ $68","11/15/2013","10/12/2014","R487PP599","988PP256","approved","924","1103"
"Best Buy.com","BER","Retail Ad","5/22/2015","7/16/2016","R488BER707","327PP518","approved","485","1572"
"Amazon","COOP","9D @ $68","7/17/2016","8/13/2017","R488BER764","9BER935","approved","255","1081"
"Kohls","BER","Retail Ad 9D","4/27/2011","7/18/2012","R488PP969","959BER99","running","680","631"
"Ingram Micro","PP","Retail Ad","11/20/2015","10/15/2016","R489PP624","804PP207","approved","314","549"
"Sears Holdings","PP","Retail Ad 9D","1/11/2013","5/10/2014","R48BER926","323PP124","approved","263","762"
"Walmart.com","BER","Description","6/21/2015","8/15/2016","R48PP634","824BER573","accepted","952","1313"
"Tiger Direct","COOP","9D @ $68","6/20/2014","8/15/2015","R490BER556","23COOP44","running","686","1566"
"BJs Wholesale Club","PP","9D @ $68","6/10/2015","8/10/2016","R491BER724","169COOP682","approved","537","1255"
"PriceSmart","COOP","9D @ $68","1/24/2012","5/17/2013","R491PP499","909PP301","approved","292","456"
"Amazon","PP","Retail Ad","7/4/2016","8/7/2017","R492BER315","734COOP784","accepted","367","1909"
"Amazon","PP","Retail","10/24/2016","10/17/2017","R492BER951","38PP164","accepted","985","724"
"Synnex Canada","BER","Description","3/13/2012","6/11/2013","R492COOP614","718BER346","accepted","559","1576"
"AAFES","BER","Description","1/5/2014","5/7/2015","R492COOP654","704BER662","archived","820","120"
"Sears Holdings","PP","Retail Ad","2/21/2011","6/15/2012","R493PP163","143COOP431","accepted","868","1216"
